Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id,YouTube URL
Sweethearts: Radhe Govinda (Live),Radhika Das,Heartland 3 (Live),❤️,Playlist,TCAHD2325577,0EpVM7Yd1t2IiD9On61mlM,https://www.youtube.com/watch?v=-M6Rzn01ds8
Radhe Govinda,Radhika Das,Mantra,❤️,Playlist,AUI442400291,5DOiMQwO8JwvyUzRv2jw0R,https://www.youtube.com/watch?v=8Pb4Jggf1nk
Braj Ras,B Praak,Braj Ras,❤️,Playlist,INUM72600449,7AMonwSfT0ToW8hYPsJKOX,https://www.youtube.com/watch?v=C8iQCmo-o_Y
AURA - Slowed,Ogryzek,AURA,AURA ☠️,Playlist,USUYG1561712,3R4pRc5y8I8pgPBzUTkTpd,https://www.youtube.com/watch?v=psh4YEGZhrw
AVANGARD - Slowed,LONOWN,AVANGARD (Slowed),AURA ☠️,Playlist,DGA082417441,1EPi3TSB6vGbGQ4IHVpxco,https://www.youtube.com/watch?v=qwzZ5ViZans
FUNK UNIVERSO - Slowed,Irokz,FUNK UNIVERSO,AURA ☠️,Playlist,QM6P42480975,1M1BRaWQvtw9Fxyqzy4vP2,https://www.youtube.com/watch?v=yHKXRcZxpG8
DON`T STOP - Slowed,GLXXMSTRIDER,DON`T STOP,AURA ☠️,Playlist,QZK6P2448498,52uQ2fQqo9hX5H4p7Niq0b,https://www.youtube.com/watch?v=WcBMJwXueVM
SLAVA FUNK!,MVSTERIOUS,SLAVA FUNK! (Remixes),AURA ☠️,Playlist,QZA742423737,6yKJ79xxOazt97C09GvxSK,https://www.youtube.com/watch?v=GeszARkWZw0
METAMORPHOSIS,INTERWORLD,METAMORPHOSIS,AURA ☠️,Playlist,QZS642102633,2ksyzVfU0WJoBpu8otr4pz,https://www.youtube.com/watch?v=317RHaFF7Xk
Untitled #13 (Super Slowed),glwzbll,Untitled #13 (Super Slowed),AURA ☠️,Playlist,RUA1D2386100,3fC7BKJN66Tyq44x6Try2R,https://www.youtube.com/watch?v=VuM15F_NqB8
DERNIERE DANCE FUNK,ZODIVK,DERNIERE DANCE FUNK,AURA ☠️,Playlist,CA5KR2432283,6NxIh2DTIOoATFmezrHv61,https://www.youtube.com/watch?v=0yXX2Iya490
Sleepwalker - Slowed,akiaura,Sleepwalker (Slowed),AURA ☠️,Playlist,DGA062346464,5cjRF0yXxYvqzmJfUbq9AW,https://www.youtube.com/watch?v=cLupeDNMauk
GigaChad Theme - Phonk House Version,g3ox_em,GigaChad Theme (Phonk House Version),AURA ☠️,Playlist,QZNWS2230712,7mLWNwcvwRdEviz6SfYp8A,https://www.youtube.com/watch?v=OVh0bMNSFss
DARE,Sayfalse,DARE,AURA ☠️,Playlist,USUYG1575068,1ArGPdjgSx2G27XvL1EiQa,https://www.youtube.com/watch?v=Svx6-9HLEgQ
GLORY - Slowed,Ogryzek,GLORY,AURA ☠️,Playlist,USUYG1551568,147pPZW5LnkXXbgkmYqvSt,https://www.youtube.com/watch?v=Wq_edd0m2kI
EEYUH! x Fluxxwave - Slowed + Reverb,Clovis Reyes,EEYUH! x Fluxxwave,AURA ☠️,Playlist,US3DF2464797,5xjyCc4doomao4SkrAK29U,https://www.youtube.com/watch?v=GMh-mTTOnkg
life force,ptasinski,freedom from self,AURA ☠️,Playlist,QZWFE2494725,7qvDmYmPjrIosceqmSriCa,https://www.youtube.com/watch?v=FmrKm7q-V6c
KILLERS FROM THE NORTHSIDE,Kordhell,A MILLION WAYS TO MURDER,AURA ☠️,Playlist,QZMER2123287,0cXStNML1X6nD43psyEUhy,https://www.youtube.com/watch?v=DK6IRG4CAbw
Sahara,Hensonn,Sahara,AURA ☠️,Playlist,QMDA72134986,6nqdgUTiWt4JbABDurkxMI,https://www.youtube.com/watch?v=pIZ0QRWK0zg
Hai Phút Hơn - SLOWED,VaporVice,Hai Phút Hơn,AURA ☠️,Playlist,QZLBC7384736,4wKeLkznKyWu3mDujHvw77,https://www.youtube.com/watch?v=_gqp6sCBlpk
Hall of Fame,The Script,#3 Deluxe Version,AURA ☠️,Playlist,GBARL1201154,0FB5ILDICqwK6xj7W1RP9u,https://www.youtube.com/watch?v=ds6o9in_y-o
